trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.9999500004166653}",20,0,-75.77018223647904,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
2,False,"{'a': 0.01, 'e': 0.9998000066665778}",30,0,-203.68855043977666,"{0: 16, 1: 0, 2: 10, 3: 2, 4: 2}",0
3,False,"{'a': 0.01, 'e': 0.9995500337489875}",25,0,-166.12870510541208,"{0: 16, 1: 1, 2: 4, 3: 1, 4: 3}",0
4,False,"{'a': 0.01, 'e': 0.9992001066609779}",20,0,-147.48536500218964,"{0: 12, 1: 0, 2: 4, 3: 2, 4: 2}",0
5,False,"{'a': 0.01, 'e': 0.9987502603949663}",20,0,-60.835605642666806,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
6,False,"{'a': 0.01, 'e': 0.9982005399352042}",20,0,-75.7940417155176,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
7,False,"{'a': 0.01, 'e': 0.9975510002532796}",25,0,-177.86422464736648,"{0: 14, 1: 2, 2: 6, 3: 0, 4: 3}",0
8,False,"{'a': 0.01, 'e': 0.9968017063026194}",20,0,-137.58479970942537,"{0: 10, 1: 1, 2: 6, 3: 2, 4: 1}",0
9,False,"{'a': 0.01, 'e': 0.9959527330119943}",25,0,-143.5683328895084,"{0: 14, 1: 0, 2: 8, 3: 2, 4: 1}",0
10,False,"{'a': 0.01, 'e': 0.9950041652780257}",25,0,-153.45520910108343,"{0: 10, 1: 5, 2: 8, 3: 1, 4: 1}",0
11,False,"{'a': 0.01, 'e': 0.9939560979566968}",20,0,-80.85316234969864,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
12,False,"{'a': 0.01, 'e': 0.9928086358538663}",20,0,-149.02868591439253,"{0: 10, 1: 1, 2: 4, 3: 4, 4: 1}",0
13,False,"{'a': 0.01, 'e': 0.9915618937147881}",20,0,-103.79573950404563,"{0: 10, 1: 5, 2: 3, 3: 1, 4: 1}",0
14,False,"{'a': 0.01, 'e': 0.9902159962126371}",30,22,0.9620064073664665,"{0: 6, 1: 2, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.01, 'e': 0.9887710779360422}",35,0,-338.1426986827626,"{0: 17, 1: 4, 2: 6, 3: 2, 4: 6}",0
16,False,"{'a': 0.01, 'e': 0.9872272833756269}",25,0,-164.21097441324795,"{0: 16, 1: 0, 2: 4, 3: 3, 4: 2}",0
17,False,"{'a': 0.01, 'e': 0.9855847669095608}",25,0,-185.7731518927782,"{0: 9, 1: 5, 2: 7, 3: 3, 4: 1}",0
18,False,"{'a': 0.01, 'e': 0.9838436927881214}",30,0,-268.06669593075196,"{0: 14, 1: 5, 2: 4, 3: 3, 4: 4}",0
19,False,"{'a': 0.01, 'e': 0.9820042351172703}",20,0,-102.42499152632179,"{0: 9, 1: 2, 2: 8, 3: 1, 4: 0}",0
20,False,"{'a': 0.01, 'e': 0.9800665778412416}",25,0,-211.75268153097105,"{0: 13, 1: 4, 2: 3, 3: 1, 4: 4}",0
21,False,"{'a': 0.01, 'e': 0.9780309147241483}",20,0,-94.22306905036336,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
22,False,"{'a': 0.01, 'e': 0.9758974493306055}",25,8,-112.9177514933039,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 3}",1
23,False,"{'a': 0.01, 'e': 0.9736663950053749}",20,0,-135.83168111689935,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 3}",0
24,False,"{'a': 0.01, 'e': 0.9713379748520297}",20,0,-137.25382388634873,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
25,False,"{'a': 0.01, 'e': 0.9689124217106447}",30,0,-131.01730211705137,"{0: 19, 1: 3, 2: 6, 3: 0, 4: 2}",0
26,False,"{'a': 0.01, 'e': 0.9663899781345132}",30,0,-92.24139224584279,"{0: 18, 1: 2, 2: 10, 3: 0, 4: 0}",0
27,False,"{'a': 0.01, 'e': 0.9637708963658905}",25,0,-192.35084922024217,"{0: 12, 1: 0, 2: 10, 3: 1, 4: 2}",0
28,False,"{'a': 0.01, 'e': 0.9610554383107709}",30,0,-208.93173824906742,"{0: 17, 1: 1, 2: 8, 3: 1, 4: 3}",0
29,False,"{'a': 0.01, 'e': 0.9582438755126972}",25,0,-46.74876945122841,"{0: 16, 1: 5, 2: 4, 3: 0, 4: 0}",0
30,False,"{'a': 0.01, 'e': 0.955336489125606}",25,0,-116.1675631631931,"{0: 13, 1: 5, 2: 6, 3: 0, 4: 1}",0
31,False,"{'a': 0.01, 'e': 0.9523335698857134}",20,0,-77.65888833221558,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
